text,label
"me duele mucho el pecho y no puedo respirar",MEDICAL
"mi padre se ha caido y no se mueve",MEDICAL
"alguien se ha desmayado en la calle",MEDICAL
"una persona esta sangrando mucho",MEDICAL
"creo que estoy teniendo un infarto",MEDICAL
"mi hijo tiene fiebre muy alta y convulsiones",MEDICAL
"una persona se ha atragantado y no puede respirar",MEDICAL
"mi abuela se ha roto la cadera",MEDICAL
"alguien ha tenido una reaccion alergica grave",MEDICAL
"una mujer embarazada tiene contracciones muy fuertes",MEDICAL
"un hombre se ha cortado con un cuchillo y sangra mucho",MEDICAL
"mi vecino no responde y esta en el suelo",MEDICAL
"una persona ha sufrido una descarga electrica",MEDICAL
"alguien se ha quemado con aceite hirviendo",MEDICAL
"un nino se ha caido del columpio y no mueve el brazo",MEDICAL
"tengo un dolor muy fuerte en el abdomen",MEDICAL
"una persona mayor se ha desmayado por el calor",MEDICAL
"mi companero de trabajo no puede hablar ni mover el brazo",MEDICAL
"hay alguien con un ataque de epilepsia",MEDICAL
"una persona se ha intoxicado con productos de limpieza",MEDICAL
"hay un incendio en el edificio de enfrente",FIRE
"se esta quemando un coche en la carretera",FIRE
"hay humo saliendo de la cocina",FIRE
"el bosque esta ardiendo cerca de mi casa",FIRE
"hay fuego en el contenedor de basura",FIRE
"se ha incendiado una fabrica en el poligono",FIRE
"hay llamas saliendo de una ventana del tercer piso",FIRE
"el garaje esta lleno de humo",FIRE
"un cortocircuito ha provocado un incendio en la oficina",FIRE
"hay un incendio forestal avanzando hacia las casas",FIRE
"se esta quemando un restaurante en el centro",FIRE
"hay fuego en el campo y se acerca al pueblo",FIRE
"una estufa ha provocado un incendio en el salon",FIRE
"el taller mecanico esta en llamas",FIRE
"hay un incendio en el almacen del supermercado",FIRE
"se ve mucho humo negro saliendo del tejado",FIRE
"una barbacoa ha provocado un incendio en el jardin",FIRE
"hay fuego en la nave industrial",FIRE
"un rayo ha provocado un incendio en el monte",FIRE
"la chimenea ha prendido fuego al tejado",FIRE
"ha habido un accidente de trafico en la autopista",TRAFFIC
"un coche ha atropellado a un peaton",TRAFFIC
"dos coches han chocado en el cruce",TRAFFIC
"un camion ha volcado en la carretera",TRAFFIC
"una moto ha tenido un accidente",TRAFFIC
"hay un accidente multiple en la autovia",TRAFFIC
"un coche se ha salido de la carretera",TRAFFIC
"ha habido un choque frontal entre dos vehiculos",TRAFFIC
"un autobus ha tenido un accidente con heridos",TRAFFIC
"un ciclista ha sido atropellado",TRAFFIC
"hay un accidente con personas atrapadas en el coche",TRAFFIC
"un coche ha chocado contra un poste de luz",TRAFFIC
"una furgoneta ha arrollado a varias personas",TRAFFIC
"hay un vehiculo volcado con gente dentro",TRAFFIC
"un peaton ha sido arrollado en el paso de cebra",TRAFFIC
"dos motos han colisionado en la rotonda",TRAFFIC
"un coche ha caido por un barranco",TRAFFIC
"hay un accidente de trafico con un herido grave",TRAFFIC
"un taxi ha chocado con un autobus",TRAFFIC
"un camion ha perdido la carga en la carretera",TRAFFIC
"hay un hombre con un cuchillo amenazando a la gente",SECURITY
"estan robando en la tienda de al lado",SECURITY
"hay una pelea callejera con armas",SECURITY
"alguien ha entrado a robar en mi casa",SECURITY
"hay una persona sospechosa merodeando por el barrio",SECURITY
"estan vandalizando los coches del aparcamiento",SECURITY
"hay una agresion en el parque",SECURITY
"un grupo de personas esta amenazando a los vecinos",SECURITY
"hay alguien intentando forzar la puerta de mi vecino",SECURITY
"estan disparando en la calle",SECURITY
"hay un robo a mano armada en el banco",SECURITY
"una persona esta siendo agredida en la parada del bus",SECURITY
"hay vandalismo en el colegio",SECURITY
"alguien esta amenazando con una pistola",SECURITY
"hay una pelea violenta en el bar",SECURITY
"estan asaltando a una persona mayor en la calle",SECURITY
"hay un intento de secuestro en el aparcamiento",SECURITY
"alguien ha roto el escaparate y esta robando",SECURITY
"hay una persona agresiva gritando y rompiendo cosas",SECURITY
"estan forzando la entrada de un local comercial",SECURITY
"hay una situacion de violencia domestica en el piso de arriba",SECURITY
"el rio se ha desbordado e inunda las calles",NATURAL
"hay un terremoto y los edificios tiemblan",NATURAL
"una tormenta ha tirado arboles en la carretera",NATURAL
"hay una inundacion en el sotano del edificio",NATURAL
"el viento ha arrancado tejados en el barrio",NATURAL
"hay un deslizamiento de tierra cortando la carretera",NATURAL
"esta granizando muy fuerte y hay danos en los coches",NATURAL
"una riada ha arrastrado varios coches",NATURAL
"hay nieve acumulada bloqueando las carreteras",NATURAL
"un rayo ha caido en una casa",NATURAL
"hay una tromba de agua inundando el pueblo",NATURAL
"el mar esta muy agitado y hay personas en peligro",NATURAL
"hay un desprendimiento de rocas en la montana",NATURAL
"una avalancha ha cortado el acceso al pueblo",NATURAL
"el nivel del agua esta subiendo rapidamente",NATURAL
"hay un tornado acercandose a la zona",NATURAL
"las olas estan entrando en los paseos maritimos",NATURAL
"hay grietas en el suelo por el terremoto",NATURAL
"una tormenta electrica ha provocado cortes de luz",NATURAL
"el viento huracanado esta causando destrozos",NATURAL
